P20273	Q07108
O14561	Q8IXM3
Q9BRJ2	Q9H0U6
P23508	Q8IVW4
O14548	P15954
Q9BYC8	Q9Y2Q9
P16070	P29965
P49840	Q07820
Q13064	Q9BT92
Q86YW7	Q96T91
P25788	Q58A44
Q9HBM1	Q9NZJ0
Q9H992	Q9H992
P49368	P78371
O60870	Q13573
O96000	Q9UDW1
Q3KP22	Q8NHR7
Q7Z7N9	Q9Y6G1
O75832	Q13200
Q96A47	Q9UBR4
P62277	Q5JVS0
P04637	P09038
P36578	Q8IYK2
Q9BWG6	Q9UIH9
P48201	P61421
P22794	Q5VZY2
P51787	Q9UJ90
O75052	P17600
Q8N9T8	Q9NQZ2
A0A096LP55	P14927
P00747	P60508
Q8NB12	Q9BVJ6
P60228	Q09161
P17643	Q9UMX9
A6NEM1	Q9H788
Q09161	Q9BTL3
P19838	P21580
P46782	P63244
O43542	Q96NY9
O76021	Q8IWA0
Q9BVS5	Q9UJA5
Q92504	Q9UNE7
Q12962	Q9NVC6
O00471	P53674
P50402	Q8N5R6
O00567	Q969X6
Q96ES6	Q9Y385
Q7Z7H8	Q9Y6G3
Q15431	Q6PIF2
Q96F46	Q9BUZ4
Q9BYD1	Q9NWT8
Q58WW2	Q7L5Y6
Q8IXM3	Q9Y676
Q15125	Q8NBD8
P27487	Q07325
O15446	Q9NYV6
O43677	Q9P032
P56937	Q9H2F3
Q7Z3K6	Q96EZ8
Q8WV16	Q9NZJ0
Q09028	Q9Y483
P37231	Q01469
Q0VD86	Q96MP8
P36578	P60468
P10809	Q9BRK4
O43482	Q92674
Q6UX04	Q9BWG6
Q6NUS6	Q9P0N5
P03372	P37231
Q8N9W4	Q9HC98
P14784	P22749
Q13554	Q8NEB9
O14545	Q9Y4K3
Q9GZT4	Q9H4P4
O75380	Q96CU9
Q13503	Q15528
O15160	P07954
O43463	Q13620
Q6UWT4	Q96GQ5
Q8NEB9	Q9BXW4
P57060	P57060
O00303	P55036
Q9NPE3	Q9UI30
P62826	Q09161
P29083	Q9BUI4
Q9NVP1	Q9NY61
P13725	Q9HC73
P68543	Q9UNZ2
P01106	Q9Y6K9
Q9NVS2	Q9Y3D5
P82663	Q96RP9
Q13546	Q96AB6
O95182	P03905
P05231	P41159
O15259	O15259
P09038	P21583
Q13352	Q969Y2
P47813	P62081
P14780	P35222
