P81760	Q9SR70
P56778	P56794
O81916	Q8RXQ1
Q940U6	Q9SYX1
P16180	Q9LRN8
A0MES8	Q8RWE8
O81788	Q8LPN5
Q42533	Q8GWG0
P56797	Q84JG5
F4KEM0	Q9ZQH2
O04547	Q6IWB2
Q9STS6	Q9STS6
Q1PF33	Q93WU4
P56801	P56808
O22229	Q8LCT3
Q8GZD4	Q9LZD0
Q9SCY2	Q9SUI4
Q9C6Y3	Q9FNY0
F4I0K2	Q1H5E9
F4IYH6	Q94AI4
P56758	Q96252
Q8GYH5	Q9SQK3
P56790	P61841
Q9LK31	Q9M1Y1
Q94A79	Q9C5Q8
O22633	Q9FNR3
Q8VZ55	Q9ASV6
Q8VWJ1	Q94FY7
P25873	P92959
Q9CA30	Q9CA30
O65202	Q9C7W4
P49077	Q93Z66
O03042	P23321
Q6NQK2	Q9LNX4
P26288	Q9S829
P34791	Q9SCY2
Q9LSB1	Q9SNE5
Q96326	Q9M1Y0
Q7X843	Q9T070
P56795	Q9FV52
P62090	P93735
O65090	P56797
Q9M9R9	Q9ZUX4
Q93Z00	Q9LYW3
Q84JG5	Q9SYL9
B7ZWR6	F4KCL7
Q0H8D7	Q6NQK2
Q9C9C9	Q9ZW84
P56791	Q8VZ55
P23321	Q8W0Y8
P92544	Q9M9B4
Q8GXJ1	Q8RVQ9
P0DH85	P56804
Q8RWL4	Q9LTJ1
Q9FFZ1	Q9SK50
O22137	Q9LKA5
Q42529	Q501D8
Q9FKM7	Q9SKN5
O64564	Q9SSQ8
O23049	Q8VZU4
O22808	O23006
O04652	Q9T070
Q9C7Y4	Q9S7H1
P0DN97	Q6DUW7
Q8GXP4	Q9LV04
Q9M9Y8	Q9SAC0
Q9FZ47	Q9LYU8
Q9SHU7	Q9SK50
Q8VY64	Q9S7W5
A0MES8	Q9LW31
Q8H1F7	Q9C6T1
P43082	Q9ZNS4
P25864	Q8L7L0
Q8W246	Q9C9Z1
P53780	P92979
O64687	Q9SV55
O22714	Q8L6Z4
Q6NPN4	Q9SGI7
A2RVK7	F4IMH3
Q949X0	Q9S7D1
A6QRA1	Q9FNQ0
O65567	Q8LCH5
Q8RXU6	Q9ZPV5
Q9LVJ7	Q9SIT9
O04130	Q9LYU8
Q8VY76	Q9LTH9
P92943	Q9M8L9
Q8GWW7	Q96286
P62090	Q9SHE8
O65567	Q9LY91
P92544	Q9SUU5
Q3ECH9	Q9FZE4
Q94AU9	Q9C633
Q9SEU4	Q9SEU4
F4JLQ5	Q2V4F6
O80634	Q9S829
Q9LYR2	Q9M9B4
P17597	Q9LPR4
P56766	P56794
P56790	Q41932
P56794	Q9FUZ2
O81775	Q9S752
O23210	O23210
Q08298	Q9M7Q3
F4IPI4	P92959
O03042	P56808
O04603	Q94FY7
O22795	Q9SYL9
P42732	P92527
P82752	Q9T0E3
Q95749	Q9LRN8
P0DN98	Q6DUW7
Q9SD61	Q9SY74
P25697	Q8RWV0
P56791	P93014
F4IME2	Q8L7E9
Q5XF07	Q9LPD2
